"token","wordscores_manifesto"
"canary",1.11722678847163
"islands",1.26476417121308
"greens",1.40432903411701
"animals",1.50081084381418
"green",1.55475782810391
"wales",1.68555735159065
"inequality",1.79495692493199
"gender",1.80095037177768
"spanish",1.80687248622815
"sinn",1.81993145543964
"ecological",1.81993967874382
"ecolo",1.86593078192668
"poverty",1.87049551969273
"equality",1.876113325117
"denk",1.89809177367191
"proposes",1.90041648898567
"women",1.90474908116919
"discrimination",1.91833288557731
"plaid",1.92171131487141
"autonomous",1.92986271717274
