"token","wordscores_manifesto"
"vld",3.7516497838729
"afd",3.8340368270521
"rejects",3.86730418286206
"liquidity",3.88580291952761
"switzerland's",3.93290852438938
"edu",3.93376903373162
"bureaucracy",3.95101845929331
"liberal",3.97914658124853
"conservatives",4.01262438343188
"conservative",4.02716917508589
"dkk",4.06002010043629
"liberals",4.12487643009925
"f.d.p",4.17182372001783
"progress",4.22419584167215
"bdp",4.23384035522563
"switzerland",4.46488687491364
"swiss",4.52353841728298
"fdp",5.03015394869674
"vvd",5.71724667431882
"svp",7.24605200594886
