"token","wordscores_manifesto"
"minimum",5.09316330034466
"lsap",5.10068771772298
"data",5.10666414055568
"germany",5.12351970199367
"belgium",5.15954048306418
"wage",5.16355031137352
"banking",5.16731366406659
"guarantee",5.17691259855853
"irish",5.19479977312695
"bank",5.21030082363442
"euros",5.2203088461031
"scotland",5.22111251104914
"sp.a",5.22151874913684
"cdh",5.28579407548643
"catalonia",5.29416064690212
"resolution",5.47158933846113
"catalan",5.48815393160011
"proposes",5.50268668652072
"banks",5.54917116289248
"ecolo",5.55329717917774
