"token","wordscores_manifesto"
"social_democratic_party",3.53539667253178
"danish_people's_party",3.68949262647996
"upper_secondary_school",3.70089345681954
"national_insurance_scheme",3.77629007487427
"universities_university_colleges",3.82484829456828
"progress_party_work",3.8261192682444
"government_canary_islands",3.82938990663046
"coalición_canaria-partido_nacionalista",3.83922903956255
"next_steps_forward",3.8435694716676
"child_welfare_services",3.84475321796606
"specialist_health_service",3.84852147917585
"conservative_people's_party",3.85314266422022
"vlaams_belang_advocates",3.85602803066187
"norwegian_armed_forces",3.86167715676353
"higher_education_institutions",3.86536331452114
"plaid_cymru's_answer",3.87522383659263
"center_party_work",3.87550705733183
"primary_lower_secondary",3.88536322381831
"upper_secondary_education",3.89298485108648
"new_renewable_energy",3.89528512525712
