"token","wordscores_manifesto"
"die_linke",-17.7095944948834
"sinn_féin",-17.6678169646877
"labor_party",-16.3149757193538
"cdh_proposes",-16.2489227741134
"working_conditions",-15.8913442620419
"public_services",-15.3365500703842
"social_democrats",-15.1510573221469
"climate_change",-14.9075782969643
"public_authorities",-14.36003844294
"trade_unions",-14.3298476567222
"green_party",-14.0876119565184
"social_environmental",-14.0085294378288
"mental_health",-13.9142414856651
"social_rights",-13.8795849798981
"working_hours",-13.8583014122999
"gender_equality",-13.5592096126566
"public_transport",-13.4525858088222
"autonomous_communities",-13.4463809336684
"tax_havens",-13.3893696134205
"sexual_orientation",-13.3268395761795
