"token","wordscores_manifesto"
"reform_common_agricultural_policy",-7.49877495390129
"common_foreign_security_policy",-7.49165474673888
"autonomous_community_canary_islands",-7.46384232078853
"fine_gael_general_election",-7.40359577830716
"gael_general_election_manifesto",-7.40097242595327
"european_court_human_rights",-7.39911319464502
"use_renewable_energy_sources",-7.38917626337178
"human_rights_rule_law",-7.38859824439095
"member_states_european_union",-7.36621823519132
"earned_income_tax_credit",-7.32639973844928
"state_governed_rule_law",-7.31018011254115
"coalición_canaria-partido_nacionalista_canario-partido",-7.21218222630462
"canaria-partido_nacionalista_canario-partido_independientes",-7.21218222630462
"nacionalista_canario-partido_independientes_lanzarote",-7.21218222630462
"also_play_important_role",-7.16994020196836
"take_advantage_opportunities_offered",-7.12665326944746
"corporate_income_tax_rate",-7.06255803326215
"new_nuclear_power_plants",-6.988670356293
"proliferation_weapons_mass_destruction",-6.98313022496563
"small_medium-sized_enterprises_smes",-6.91976484961778
