"token","wordscores_manifesto"
"sp.a",18.6769003458927
"irish",18.6793451336949
"swedish",18.7346254726434
"across",18.7630069202661
"discrimination",18.8173228571498
"labour",18.8376377755579
"linke",18.8629338180351
"denmark",19.1394567975075
"gender",19.1668889150138
"proposes",19.1910496158746
"mental",19.3489111575032
"wales",19.4406204158989
"sdlp",19.5022576365168
"sweden",19.6242592485752
"resolution",19.633838743854
"inequality",19.7668611709459
"cdh",19.9120670189528
"sinn",21.6914833531724
"féin",21.9611502091761
"denk",23.2069804332781
